TOTAL,accept_count,date_occurance,deny_count,internet,ip_c,isinfra,protco_count,tag
14,12,7,0,0,2,0,3,0
8,8,6,0,0,2,0,2,0
5,5,7,0,0,1,0,1,0
15,11,1,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
7,6,7,0,0,2,0,2,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
1,0,2,1,1,1,0,1,0
1,1,6,0,0,1,0,1,0
76,76,7,0,0,5,0,5,0
5,5,6,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
32,6,7,0,0,3,0,2,0
8,8,7,0,0,2,0,1,0
13,13,7,0,0,2,0,1,0
1,0,1,0,1,1,0,1,0
341,59,7,0,0,6,1,7,0
8,7,7,0,0,2,0,2,0
89,51,7,0,0,9,0,6,0
6,6,2,0,0,1,0,1,0
11,11,7,0,0,1,0,2,0
8,8,2,0,1,1,0,1,0
7,6,7,0,0,2,0,2,0
6,6,7,0,0,1,0,1,0
6,5,7,0,0,2,0,2,0
7,7,7,0,0,1,0,1,0
7,6,7,0,0,2,0,2,0
11,7,1,0,1,1,0,1,0
7,7,7,0,0,1,0,1,0
10,10,7,0,0,1,0,2,0
5,5,7,0,0,1,0,1,0
17,14,7,0,0,3,0,3,0
2418,2308,7,81,0,79,1,3,0
6,6,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
6,5,3,0,0,2,0,2,0
6,5,7,0,0,2,0,2,0
19,19,7,0,0,3,0,2,0
6,6,7,0,0,1,0,1,0
6,6,7,0,0,1,0,1,0
6,6,5,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
7,6,7,0,0,2,0,2,0
29,14,7,0,0,2,0,3,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
1,1,6,0,0,1,0,1,0
6,5,7,0,0,2,0,2,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
8,7,7,0,0,2,0,2,0
5,5,3,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
1,1,3,0,0,1,0,1,0
3,0,1,3,1,1,0,1,0
6,6,7,0,0,1,0,1,0
5046,907,7,0,0,17,0,5,0
11,11,7,0,0,2,0,4,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
7,6,7,0,0,2,0,2,0
6,5,7,0,0,2,0,2,0
5,5,7,0,0,1,0,1,0
6,6,7,0,0,1,0,1,0
32,32,7,0,0,4,0,4,0
65,64,7,0,0,8,0,4,0
1099,33,7,0,0,6,0,6,0
6,6,7,0,0,1,0,1,0
88,14,7,0,0,14,1,3,0
2,2,7,0,0,1,0,1,0
8,8,2,0,1,1,0,1,0
18,16,7,0,0,3,0,3,0
5,5,6,0,0,1,0,1,0
6,5,7,0,0,2,0,2,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
5,5,7,0,0,1,0,1,0
50,42,7,0,0,8,0,4,0
117,12,7,0,0,2,0,2,0
2,0,2,0,1,1,0,1,0
2,2,6,0,0,1,0,1,0
5,5,1,0,0,1,0,2,0
7,7,7,0,0,1,0,1,0
29,14,7,0,0,2,0,2,0
6,6,7,0,0,1,0,1,0
21,21,7,0,0,2,0,2,0
6,5,7,0,0,2,0,2,0
8,8,2,0,1,1,0,1,0
1451,1344,7,90,0,75,1,3,0
33,5,7,28,0,3,0,3,0
6,6,7,0,0,1,0,1,0
6,5,7,0,0,2,0,2,0
119,14,7,0,0,2,0,2,0
13,13,7,0,0,2,0,2,0
28,28,7,0,0,4,0,2,0
42,40,7,0,0,5,0,4,0
5,5,7,0,0,1,0,1,0
111,98,7,0,0,10,0,6,0
29,14,7,0,0,2,1,2,0
5,5,7,0,0,1,0,1,0
30,0,1,30,0,3,0,2,0
4,0,2,4,1,4,0,2,0
